ID,name,parentID
612,Desembarco del Granma National Park,611
613,Municipality of Cienfuegos,606
614,Camagüey Province,606
615,Dominica,548
616,South central part of the island,615
617,Dominican Republic,548
618,Distrito Nacional,617
619,Ecuador,548
620,Province of Azuay,619
621,El Salvador,548
622,jurisdiction of San Juan Opico,621
623,Canton Joya de Ceren,622
624,Department of La Libertad,623
625,Guatemala,548
626,Department of El Peten,625
627,Panchoy Valley,625
628,Department of Sacatepéquez,627
629,Department of Izabal,625
630,Haiti,548
631,Département du Nord,630
632,Honduras,548
633,Northeast of the country in the area known as the “Mosquitia Hondureña”,632
634,Jamaica,548
635,Mexico,548
636,Cozumel et Felipe Carrillo Puerto,635
637,Quintana Roo,636
638,Municipality of Palenque,635
639,State of Chiapas,638
640,Venustiano Carranza et Xochimilco,635
641,District Federal.  Delegations: Cuauhtemoc,640
642,Xoxocotlan et Cuilapan,635
643,municipalites de Oaxaca,642
644,Etat de Oaxaca de Juarez,643
645,San Pedro Cholula et San Andres Cholula,635
646,municipalites de Puebla,645
647,Etat de Puebla,646
648,Etat de: Guanajuato.   Municipalite:  Guanajuato,635
649,Municipalité de Tinum,635
650,Etat de Yucatan,649
651,Municipality of Mulege,635
652,Basse Californie Sud,651
653,State of Chihuahua,635
654,Municipality of Casas Grandes,653
655,Michoacan. Mairie de Morelia,635
656,municipalité de Papantla,635
657,Etat de Veracruz,656
658,Zacatecas Municipality,635
659,Zacatecas State,658
660,State: Lower California Sud Municipality,635
661,municipalites Muna et Santa Elena,635
662,Etat de Yucatan,661
663,municipalité de Querétaro,635
664,Etat Querétaro,663
665,Guadalajara,635
666,Jalisco,665
667,Tlacotalpan Municipality,635
668,State of Veracruz,667
669,State of Campeche,635
670,State of Querétaro de Arteaga (Sierra Gorda region),635
671,Mexico City,635
672,Jalisco State,635
673,Valles Region,672
674,Guanajuato Region,635
675,N19 50 07 W98 39 45.24,635
676,Nicaragua,548
677,Department of León,676
678,Municipality of La Paz Centro,677
679,Puerto Momotombo,678
680,Panama,548
681,Province of Colon,680
682,Distric of Cristobal,681
683,Province of Darien,680
684,Panama’ District,680
685,Panama’ Province,684
686,Paraguay,548
687,Peru,548
688,City of Cuzco,687
689,Chavin District,687
690,Huari Province,689
691,Ancash Department,690
692,District of Huanchaco,687
693,City of Lima,687
694,District of Huicungo,687
695,Province Mariscal Caceres,694
696,Department of San Martin,695
697,Libertadores / Wari Region,687
698,Province of Arequipa,687
699,Provincias: Manu y Paucartambo,687
700,Dep. Madre de Dios y Cusco,699
701,Saint Kitts and Nevis,548
702,St Christopher   (St Kitts),701
703,Parish of St Thomas,702
704,Saint Lucia,548
705,southwestern region of St Lucia,704
706,near the town of Soufriere,705
707,Suriname,548
708,District of Paramaribo,707
709,District Sipaliwini,707
710,Uruguay,548
711,Department de Colonia,710
712,Venezuela (Bolivarian Republic of),548
713,State of Falcon,712
714,Bolivar State,712
715,Caracas,712
716,Municipality of Libertador,715
717,Africa,0
718,Benin,717
719,Province du Zou,718
720,Botswana,717
721,north-west  Botswana,720
722,The Ngamiland District,721
723,Burkina Faso,717
724,Cabo Verde,717
725,Cameroon,717
726,du Haut-Nyong pour la partie Est),725
727,Provinces du Sud et de l’Est (Départments: du Dja-et-LOBO pour la partie Ouest,726
728,Central African Republic,717
729,Bamingui-Bangoran,728
730,Chad,717
731,Côte d'Ivoire,717
732,Democratic Republic of the Congo,717
733,Orientale Province,732
734,Ethiopia,717
735,Gondar Region,734
736,Afar region,734
737,Southern Nation Nationalities & Peoples Region,734
738,Gurage zone,737
739,Sodo woreda,738
740,Tigrai Region,734
741,Amhara Region,734
742,Harari Region,734
743,Ghana,717
744,Asante Region,743
745,Kenya,717
746,Lamu District,745
747,Coast Province,746
748,Coast Province,745
749,Madagascar,717
750,dans le Fivondronana d’Antsalova et le Faritany de Mahajanga,749
751,Centre Ouest,750
752,Province of Antananarivo  Avaradrano,749
753,Municipality of Ambohimanga  Rova,752
754,Malawi,717
755,Central Region,754
756,Dedza District,755
757,Mali,717
758,Region of Mopti,757
759,Djenné Circle,758
760,Mopti Region,757
761,Bandiagara Circle,760
762,Mauritius,717
763,Port Louis District,762
764,Mozambique,717
765,Nampula Province,764
766,Ilha de Mocambique District,765
767,Namibia,717
768,Kunene Region,767
769,Niger,717
770,arrondissement d’Arlit,769
771,Départment d’Agades,770
772,arrondisement de Say,769
773,Départment  de Tillaberi,772
774,Nigeria,717
775,Adamawa State,774
776,Madagali Local Government Area,775
777,Osun State,774
778,Osogbo,777
779,Senegal,717
780,Delta of the River Senegal,779
781,Cape Verde Region,779
782,Region of Saint-Louis,779
783,Seychelles,717
784,Praslin Island,783
785,South Africa,717
786,KwaZulu-Natal,785
787,Western Cape Province,785
788,Northern Cape,785
789,Northern Province,785
